previous,high,low,close
9950,10100,9950,9975
9975,10075,9975,10075
10075,10125,10000,10025
10025,10150,10025,10125
10125,10250,9875,10175
10175,10400,10025,10400
10400,11000,10400,11000
11000,11350,11000,11200
11200,11250,10875,11225
11225,11575,11225,11375
11375,11450,11075,11200
11200,11075,10525,10525
10525,10500,9800,9825
9825,10775,9400,10450
10450,11000,10600,10975
10975,11150,10725,10925
10925,11050,10725,10800
10800,11075,10725,10800
10800,11075,10075,10075
10075,10900,10400,10650
10650,10550,10100,10375
10375,10500,10050,10200
10200,10175,9750,9750
9750,10075,9600,9975
9975,10150,9800,9825
9825,10000,9800,9800
9800,10175,9750,10175
10175,10675,10150,10675
10675,10750,10200,10500
10500,10575,10275,10475
10475,10650,10375,10425
10425,10500,10325,10375
10375,10675,10400,10675
10675,10975,10575,10925
10925,11150,10950,11100
11100,11175,10875,11125
11125,11100,10925,11050
11050,11100,10850,10950
10950,11000,10750,11000
11000,11075,10850,10875
10875,10975,10700,10825
10825,11000,10750,10750
10750,10850,10350,10350
10350,10625,10400,10475
10475,10650,10475,10550
10550,11400,10650,10875
10875,10875,10550,10600
10600,10950,10600,10750
10750,10900,10525,10550
10550,10875,10650,10775
10775,11025,10725,10900
10900,11200,10675,10700
10700,10900,10750,10775
10775,10950,10725,10750
10750,11250,10850,11100
11100,11300,11100,11150
11150,11325,11050,11175
11175,11225,10950,10975
10975,11100,10950,10950
10950,11075,10975,10975
10975,11275,10975,11000
11000,11100,10900,10975
10975,11125,10975,11025
11025,11100,10800,10800
10800,10950,10800,10850
10850,11675,10850,11650
11650,12425,11700,12325
12325,12375,11700,12100
12100,12250,12000,12100
12100,12500,11950,12100
12100,11950,11550,11675
11675,12200,11675,12075
12075,12200,11900,11925
11925,12000,11700,11825
11825,12100,11825,11900
11900,12075,11750,11825
11825,12000,11775,11850
11850,12125,11850,12100
12100,12300,11750,11850
11850,12075,11775,12075
12075,12400,11950,12075
12075,12150,11500,11725
11725,11850,11200,11500
11500,12400,11650,12250
12250,12500,12000,12100
12100,12350,11850,12325
12325,13200,12000,13075
13075,13250,12800,13000
13000,13350,12275,12750
12750,13100,12900,12975
12975,13125,12900,13000
13000,13200,12675,12700
12700,12775,12425,12475
12475,12500,12275,12300
12300,12650,12150,12400
12400,12600,12025,12100
12100,12200,11600,11625
11625,12025,11550,11700
11700,11950,11675,11800
11800,12000,11775,11825
11825,12100,11525,11650
11650,11650,10875,11175
11175,11425,10825,10900
10900,11500,10900,11500
11500,11700,10950,11050
11050,11350,11000,11175
11175,11500,10975,11500
11500,11825,11075,11150
11150,11325,11000,11000
11000,11100,10850,10950
10950,11325,11000,11200
11200,11425,11225,11300
11300,11650,11325,11450
11450,11600,11300,11450
11450,11525,11300,11325
11325,11375,11200,11200
11200,11625,11300,11350
11350,11375,11025,11025
11025,11200,11025,11050
11050,11200,10875,10925
10925,11075,10950,11025
11025,11100,10950,10975
10975,11325,11025,11325
11325,11650,11225,11325
11325,11350,10950,11250
11250,11325,11025,11250
11250,11300,11025,11050
11050,11075,10950,10975
10975,11100,10900,10950
10950,10950,10700,10850
10850,11225,10900,11175
11175,11400,11000,11125
